area_code,ca_name
S12000005,Clackmannanshire
S12000006,Dumfries and Galloway
S12000008,East Ayrshire
S12000010,East Lothian
S12000011,East Renfrewshire
S12000011,East Renfrewshire
S12000013,Na h-Eileanan Siar
S12000014,Falkirk
S12000015,Fife
S12000017,Highland
S12000018,Inverclyde
S12000018,Inverclyde
S12000019,Midlothian
S12000020,Moray
S12000021,North Ayrshire
S12000023,Orkney Islands
S12000024,Perth and Kinross
S12000026,Scottish Borders
S12000027,Shetland Islands
S12000028,South Ayrshire
S12000029,South Lanarkshire
S12000029,South Lanarkshire
S12000030,Stirling
S12000033,Aberdeen City
S12000034,Aberdeenshire
S12000035,Argyll and Bute
S12000036,City of Edinburgh
S12000038,Renfrewshire
S12000038,Renfrewshire
S12000039,West Dunbartonshire
S12000039,West Dunbartonshire
S12000040,West Lothian
S12000041,Angus
S12000041,Angus
S12000042,Dundee City
S12000042,Dundee City
S12000044,North Lanarkshire
S12000045,East Dunbartonshire
S12000045,East Dunbartonshire
S12000046,Glasgow City
S12000047,Fife
S12000048,Perth and Kinross
S12000049,Glasgow City
S12000050,North Lanarkshire
S08000019,Clackmannanshire
S08000017,Dumfries and Galloway
S08000015,East Ayrshire
S08000024,East Lothian
S08000021,East Renfrewshire
S08000031,East Renfrewshire
S08000028,Na h-Eileanan Siar
S08000019,Falkirk
S08000018,Fife
S08000022,Highland
S08000021,Inverclyde
S08000031,Inverclyde
S08000024,Midlothian
S08000020,Moray
S08000015,North Ayrshire
S08000025,Orkney Islands
S08000027,Perth and Kinross
S08000016,Scottish Borders
S08000026,Shetland Islands
S08000015,South Ayrshire
S08000023,South Lanarkshire
S08000032,South Lanarkshire
S08000019,Stirling
S08000020,Aberdeen City
S08000020,Aberdeenshire
S08000022,Argyll and Bute
S08000024,City of Edinburgh
S08000021,Renfrewshire
S08000031,Renfrewshire
S08000021,West Dunbartonshire
S08000031,West Dunbartonshire
S08000024,West Lothian
S08000027,Angus
S08000030,Angus
S08000027,Dundee City
S08000030,Dundee City
S08000023,North Lanarkshire
S08000021,East Dunbartonshire
S08000031,East Dunbartonshire
S08000021,Glasgow City
S08000029,Fife
S08000030,Perth and Kinross
S08000031,Glasgow City
S08000032,North Lanarkshire
